[2024-05-31T23:38:39] Estimation window: 2002-07-19 - 2006-07-07, Best order: (5, 0, 4), AIC: -6353.63, Final model converged
[2024-05-31T23:39:27] Estimation window: 2002-07-22 - 2006-07-10, Best order: (5, 0, 4), AIC: -6372.26, Final model converged
[2024-05-31T23:40:05] Estimation window: 2002-07-23 - 2006-07-11, Best order: (4, 0, 3), AIC: -6380.7, Final model converged
[2024-05-31T23:40:41] Estimation window: 2002-07-24 - 2006-07-12, Best order: (3, 0, 3), AIC: -6383.66, Final model converged
[2024-05-31T23:41:19] Estimation window: 2002-07-25 - 2006-07-13, Best order: (5, 0, 3), AIC: -6414.58, Final model converged
[2024-05-31T23:41:57] Estimation window: 2002-07-26 - 2006-07-14, Best order: (5, 0, 3), AIC: -6414.16, Final model converged
[2024-05-31T23:42:30] Estimation window: 2002-07-29 - 2006-07-17, Best order: (3, 0, 5), AIC: -6418.85, Final model converged
[2024-05-31T23:42:58] Estimation window: 2002-07-30 - 2006-07-18, Best order: (5, 0, 3), AIC: -6445.95, Final model converged
[2024-05-31T23:43:27] Estimation window: 2002-07-31 - 2006-07-19, Best order: (5, 0, 3), AIC: -6444.09, Final model converged
[2024-05-31T23:44:02] Estimation window: 2002-08-01 - 2006-07-20, Best order: (5, 0, 3), AIC: -6444.12, Final model converged
[2024-05-31T23:44:26] Estimation window: 2002-08-02 - 2006-07-21, Best order: (5, 0, 3), AIC: -6451.57, Final model converged
[2024-05-31T23:44:53] Estimation window: 2002-08-05 - 2006-07-24, Best order: (4, 0, 5), AIC: -6462.88, Final model converged
[2024-05-31T23:45:20] Estimation window: 2002-08-06 - 2006-07-25, Best order: (5, 0, 4), AIC: -6472.91, Final model converged
[2024-05-31T23:45:53] Estimation window: 2002-08-07 - 2006-07-26, Best order: (5, 0, 5), AIC: -6480.63, Final model converged
[2024-05-31T23:46:25] Estimation window: 2002-08-08 - 2006-07-27, Best order: (4, 0, 5), AIC: -6489.56, Final model converged
[2024-05-31T23:46:56] Estimation window: 2002-08-09 - 2006-07-28, Best order: (5, 0, 4), AIC: -6506.18, Final model converged
[2024-05-31T23:47:52] Estimation window: 2002-08-12 - 2006-07-31, Best order: (5, 0, 4), AIC: -6506.26, Final model converged
[2024-05-31T23:48:36] Estimation window: 2002-08-13 - 2006-08-01, Best order: (5, 0, 4), AIC: -6506.3, Final model converged
[2024-05-31T23:49:03] Estimation window: 2002-08-14 - 2006-08-02, Best order: (5, 0, 4), AIC: -6508.59, Final model converged
